Mac adrees,Lat,Lon,Alt
a0:8c:fd:0a:24:56,32.10346602,35.2098239,704.0
a0:8c:fd:0a:d5:f5,32.10207321,35.20935994,711.4780123
a0:8c:fd:8c:c5:b2,32.10497406,35.2111867,696.0
a2:6c:ac:9f:f1:c5,32.10449391,35.20953603,716.2447291
a2:6c:ac:a0:3d:eb,32.1040974,35.20905491,691.0
a2:6c:ac:a0:60:55,32.10457226,35.20965432,720.850732
a4:08:f5:20:72:6a,32.10286151,35.2076292,691.1036072
b2:6c:ac:9f:f1:c5,32.1040063,35.20897411,716.4196812
b2:6c:ac:a0:3d:eb,32.10481856,35.21012315,726.1049343
b2:6c:ac:a0:7b:4d,32.105129535,35.209719145,689.267999325
c4:12:f5:f6:a0:18,32.10288097,35.209964344999996,691.23842025
c8:be:19:07:77:b9,32.10413713,35.21082446,704.7212452
d8:5d:4c:9e:69:22,32.10287774,35.20870053,713.288363
e4:95:6e:40:87:1a,32.10300921,35.2096084,701.0
ec:8c:a2:08:78:c8,32.10332204,35.20887956,714.9977713000001
ec:8c:a2:08:7a:1c,32.10366400333333,35.20781124,690.5112958666667
ec:8c:a2:08:7b:8c,32.10395116,35.20786377,690.3267398
ec:8c:a2:08:90:c8,32.10345292,35.20781064,690.6563445
ec:8c:a2:08:92:48,32.10461272,35.20792964,689.6670161
ec:8c:a2:08:94:18,32.103136150000005,35.2083393375,694.0914390500001
ec:8c:a2:08:94:1c,32.1030293425,35.208196815,698.38049905
ec:8c:a2:08:a9:3c,32.102912615,35.2076586,691.1226505999999
ec:8c:a2:09:03:38,32.10290519,35.20766511,691.4499925499999
ec:8c:a2:26:d3:68,32.1040334875,35.2090886725,705.6529745
ec:8c:a2:88:79:a7,32.10490479,35.21124745,697.4311692
ec:8c:a2:88:94:17,32.1029857225,35.20882702,705.1923622
ec:8c:a2:89:03:37,32.1031512,35.207708284999995,691.79220045
ec:8c:a2:89:0c:c7,32.10342051,35.20780553,690.6874449
f8:e7:1e:33:87:3c,32.10578181,35.21207188,690.5323471
f8:e9:03:12:ef:3b,32.10486529,35.209547453333336,689.4097254666667
